ap_1,ap_2,ap_3,ap_4,ap_5,ap_6,ap_7,ap_8,ap_9,ap_10,ap_11,ap_12,ap_13,ap_14,ap_15,ap_16,ap_17,ap_18,ap_19,ap_20,ap_21,ap_22,ap_23,ap_24,ap_25,ap_26,ap_27,ap_28,ap_29,ap_30,ap_31,ap_32,ap_33,ap_34,ap_35,ap_36,ap_37,ap_38,ap_39,ap_40,ap_41,ap_42,ap_43,spot
-37,-41,,,,,-93,,-74,,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,Lantai 1
-68,-69,,-65,,-76,,-72,-79,-81,-60,,,,-59,,,,,,,,-92,,,,,,,,,,,,,,,,,,,,,Lantai 1
-53,-56,,-68,,-67,-82,-76,-76,-76,-54,,,,-42,,,,,,,-85,-90,,,,,,,,,,,,,,,,,,,,,Lantai 1
-69,-74,-62,-59,-87,-35,-49,-60,-75,-59,-49,-74,,-73,-46,,,,,,,-87,,,-67,,,,,,,,,,,,,,-83,,,,,Lantai 1
-63,-58,,-76,,-77,,,-65,-85,-75,,-82,,-67,,,,,,,,,,,,,,,,,,,,,,-80,,,,,-72,,Lantai 1
-52,-57,-79,-64,,-75,,-74,-72,,-60,-66,,-78,,-80,-78,,-54,,,-82,-92,-84,,,,,,,,,,,-73,,,,,,,,,Lantai 1
-60,-69,,-69,,-77,-95,-84,-54,-91,-96,,,,-80,,,,,,,,,,,,,,,,,,,,,,,-97,,-90,-96,,,Lantai 1
-68,-74,,-58,,-73,-85,-76,-40,,,,-92,,-78,,,,,,,,,,,,,,,,,,,,,,-82,-87,,-82,-90,,,Lantai 1
-47,-51,,-73,,-77,-88,-80,-66,-88,-80,,,,-71,,,,,,,,,,-94,,,,,,,,,,,,,,,,,,,Lantai 1
-62,-80,-87,-55,,-59,-74,-68,-80,-71,-47,,,,-41,,,,,,,,-88,,-76,,,,,,,,,,,,,,-94,,,,-94,Lantai 1
-75,-80,-58,-51,-83,-33,-37,-54,-72,,-52,,,-61,-42,,,,,,,,,,-83,,,,,,,,,,,,,-88,,,,-72,,Lantai 1
-72,-81,-63,-50,-83,-30,-30,-54,-57,-69,-62,-66,,-75,-35,,,,-79,,,,,,-83,,,,,,,,,,,,,-88,,,-87,,,Lantai 1
-53,-56,,-78,,-75,-83,-84,-81,-85,-77,,-82,,-72,,,,,,,,,,-82,,,,,,,,,,,,-80,-76,,-62,-76,-68,,Lantai 1
-51,-51,,-65,,-76,,-72,-79,-81,-53,,,,,-80,,,,,,-82,-92,,,,,,,,,,,,-73,,,,,,,,,Lantai 1
-40,-36,,-63,,-71,-78,-74,-73,-90,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,Lantai 1
-68,-78,-68,-55,-85,-38,-47,-62,-78,-66,-60,-65,,,-53,-81,-87,,-85,,,,,,-73,,,,,,,,,,,,,,,,,,,Lantai 1
-61,-71,-68,-52,-85,-56,-65,-50,-78,-71,-62,-65,,,-51,-81,-87,,-85,,,,,,-81,,,,,,,,,,,,-85,,,,,,,Lantai 1
-53,-62,-68,-47,-85,-53,-57,-57,-68,-64,-54,-65,,,-49,-81,-87,,-85,,,,,,-76,,,,,,,,,,,,-85,,,,,,,Lantai 1
-68,-48,-68,-47,-85,-53,-63,-48,-63,-68,-57,-65,,,-61,-81,,,,,,,,,-77,,,,,,,,,,,,-85,,,,,,,Lantai 1
-38,-48,,-51,,-65,-59,-57,-67,-69,-65,-86,,,-55,,,,,,,,,,-77,,,,,,,,,,,,,,,,,,,Lantai 1
-55,-59,-86,-80,,-80,-83,-84,-66,-85,-78,,-82,,-74,,,,,,,-80,,,-82,,,,,,,,,,,,-80,-76,,-62,-76,-68,,Lantai 1
-62,-66,-63,-61,,-42,-55,-65,-76,-58,-53,-69,,-78,-38,,-87,,-85,,,,,,-70,,,,,,,,,,,,,,,,,,,Lantai 1
-62,-80,-87,-55,,-59,-74,-68,-80,-71,-47,,,,-41,,,,,,,,-88,,-76,,,,,,,,,,,,,,-94,,,,-94,Lantai 1
-71,-73,,-60,,-59,-69,-67,,-74,-44,,,,,,,,,,,-85,,-96,-78,,,,-96,,,,,,-90,,,,,,,,,Lantai 1
-67,-70,,-58,,-62,-75,-70,-82,-72,-47,-91,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,Lantai 1
-74,-76,,-56,,-58,-81,-68,-78,-67,-49,,,,-39,,,,,,,,,,-83,,,,,,,,,,,,,,-95,,,,,Lantai 1
-62,-80,-87,-55,,-59,-74,-68,-80,-71,-47,,,,-41,,,,,,,,-88,,-76,,,,,,,,,,,,,,-94,,,,-94,Lantai 1
-70,-74,-76,-39,,-49,-59,-39,-65,,-72,-82,-91,-90,-59,,-97,,-83,-91,-88,,,,,,,,,,,,,,,,,-91,,-79,-92,-84,,Lantai 1
-65,-76,-74,-35,-87,-44,-59,-44,-66,-78,-67,,,-79,-52,,-96,-94,,,,,,,,,,,,,,,,,,,,-92,,-76,,,,Lantai 1
-67,-79,-74,-36,,-34,-52,-41,-68,-82,-77,,-78,,-60,,-93,,-82,-84,-83,,,,,,,,,,,,-95,,,,-81,-88,,,-88,,,Lantai 1
-75,-91,-62,-51,-85,-35,-40,-55,-76,,-72,-65,,-71,-54,,-79,,-83,,,-90,,,,,,,,,,,,,,,-83,,,,,,,Lantai 1
,,-61,-46,-80,-35,-38,-52,-74,-75,,-69,,-75,-50,,-82,,,,-87,,,,,,,,,,,,,,,,-83,,,,-89,,,Lantai 1
-68,-80,-75,-38,,-47,-50,-42,-55,,-78,,,,,,,-95,-82,-87,-84,,,,,,,,,,,,,,,,-79,-87,,-73,-88,-78,,Lantai 1
,,-61,,,,,,,,,-68,,-78,,-37,,,,,,,-72,-62,,,,,,,,,,,,,,,,,,,,Lantai 2
